
Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality
astarH2, 0, 15, 13, 788, 8.457214593887329,0,,0 7 1 4 3 5 6 2
astarH2, 1, 12, 10, 233, 1.0493214130401611,0,,3 1 2 4 6 5 7 0
astarH2, 2, 13, 10, 380, 2.2503726482391357,0,,7 2 4 3 1 0 6 5
astarH2, 3, 15, 13, 914, 11.099600315093994,0,,6 1 3 2 7 5 0 4
astarH2, 4, 13, 10, 234, 1.0246860980987549,0,,7 6 2 3 1 0 4 5
astarH2, 5, 13, 10, 302, 1.4668021202087402,0,,1 6 7 5 0 3 2 4
astarH2, 6, 14, 11, 367, 2.134770631790161,0,,5 0 1 6 7 3 4 2
astarH2, 7, 10, 8, 92, 0.2405071258544922,0,,5 2 3 7 1 4 6 0
astarH2, 8, 14, 12, 508, 3.6413302421569824,0,,4 0 2 3 7 1 6 5
astarH2, 9, 15, 15, 1134, 16.26160764694214,0,,5 3 1 7 6 4 2 0
astarH2, 10, 15, 14, 613, 5.5986998081207275,0,,6 7 1 4 0 3 5 2
astarH2, 11, 14, 13, 808, 8.488215446472168,0,,2 1 4 3 5 7 0 6
astarH2, 12, 14, 14, 427, 2.634718179702759,0,,7 0 1 6 3 2 4 5
astarH2, 13, 13, 10, 190, 0.6587908267974854,0,,5 1 0 6 7 3 4 2
astarH2, 14, 0, 0, 2353, 60.02163076400757,1,,0 2 1 3 6 5 4 7
astarH2, 15, 11, 8, 105, 0.27693963050842285,0,,6 3 7 1 4 0 5 2
astarH2, 16, 14, 14, 763, 7.810529947280884,0,,3 7 4 1 0 2 6 5
astarH2, 17, 9, 7, 32, 0.05559682846069336,0,,5 3 6 0 2 1 4 7
astarH2, 18, 14, 13, 624, 5.142982006072998,0,,4 1 0 6 7 2 3 5
astarH2, 19, 15, 9, 1406, 21.331822395324707,0,,7 5 3 0 2 6 4 1
astarH2, 20, 9, 10, 54, 0.11932945251464844,0,,5 2 3 0 6 1 7 4
astarH2, 21, 12, 11, 221, 0.8541080951690674,0,,0 5 3 1 2 7 6 4
astarH2, 22, 8, 8, 13, 0.022322654724121094,0,,3 5 7 2 1 4 0 6
astarH2, 23, 11, 9, 173, 0.6014254093170166,0,,5 3 7 1 2 6 0 4
astarH2, 24, 14, 12, 488, 3.2155017852783203,0,,5 2 0 6 4 3 7 1
astarH2, 25, 15, 13, 1473, 24.405221462249756,0,,0 2 6 5 1 3 7 4
astarH2, 26, 16, 12, 1053, 13.843473672866821,0,,6 4 5 3 0 7 2 1
astarH2, 27, 16, 13, 2008, 43.04893398284912,0,,7 1 4 2 6 5 0 3
astarH2, 28, 11, 11, 129, 0.39015746116638184,0,,1 4 5 3 6 2 7 0
astarH2, 29, 13, 13, 340, 1.751070499420166,0,,4 5 3 2 6 1 7 0
astarH2, 30, 14, 14, 826, 8.281527042388916,0,,7 6 3 0 1 2 4 5
astarH2, 31, 12, 12, 163, 0.5408217906951904,0,,1 0 5 6 7 2 3 4
astarH2, 32, 12, 9, 115, 0.3168315887451172,0,,5 6 0 2 3 1 7 4
astarH2, 33, 13, 11, 503, 3.8020129203796387,0,,1 6 5 7 0 4 3 2
astarH2, 34, 13, 12, 233, 0.9539127349853516,0,,5 3 1 7 6 0 2 4
astarH2, 35, 11, 10, 110, 0.30765676498413086,0,,6 1 3 4 0 5 2 7
astarH2, 36, 13, 9, 226, 0.8859517574310303,0,,0 4 5 7 6 3 1 2
astarH2, 37, 14, 13, 603, 5.098747730255127,0,,2 5 7 6 1 4 3 0
astarH2, 38, 15, 15, 1061, 14.42735242843628,0,,7 5 4 1 3 0 2 6
astarH2, 39, 16, 14, 1369, 23.0369975566864,0,,6 5 0 2 7 1 4 3
astarH2, 40, 0, 0, 2249, 60.02242588996887,1,,4 7 2 5 3 1 6 0
astarH2, 41, 12, 11, 163, 0.6606833934783936,0,,0 1 4 2 6 3 7 5
astarH2, 42, 13, 11, 222, 0.900543212890625,0,,7 6 2 3 0 1 4 5
astarH2, 43, 13, 13, 326, 1.6355516910552979,0,,0 1 7 4 3 5 2 6
astarH2, 44, 14, 14, 660, 5.60134744644165,0,,2 3 6 0 5 7 1 4
astarH2, 45, 0, 0, 2396, 60.00662660598755,1,,6 0 5 2 7 4 3 1
astarH2, 46, 14, 12, 297, 1.474447250366211,0,,4 6 2 5 7 1 0 3
astarH2, 47, 0, 0, 2322, 60.02557301521301,1,,7 6 4 2 0 5 1 3
astarH2, 48, 15, 10, 1067, 14.29273009300232,0,,4 0 5 1 6 2 7 3
astarH2, 49, 13, 11, 276, 1.2921714782714844,0,,2 7 5 6 1 3 4 0
Total-astarH2, , 605,527, 33412, 511.4615955352783,4
Average-astarH2, , 13.152173913043478,11.456521739130435, 668.24, 11.118730337723441,0.08
